RowName,NameValue,bFeminine,bMasculine,Population,EthnicGroups
aaron_0,Aaron,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
adahy_1,Adahy,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
adam_2,Adam,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
adoeete_3,Adoeete,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
adrian_4,Adrian,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
adrian_5,Adrian,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
adriana_6,Adriana,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
adsila_7,Adsila,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
ahanu_8,Ahanu,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
ahiga_9,Ahiga,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
ai_10,Ai,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
aiyana_11,Aiyana,True,False,0.018,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
akari_12,Akari,True,False,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
aki_13,Aki,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
akiko_14,Akiko,True,False,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
akio_15,Akio,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
akira_16,Akira,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
akira_17,Akira,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
akoni_18,Akoni,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
alaula_19,Alaula,True,False,0.018,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
alberto_20,Alberto,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
aleshanee_21,Aleshanee,True,False,0.009,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
alex_22,Alex,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
alex_23,Alex,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
alexander_24,Alexander,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
alexander_25,Alexander,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
alexis_26,Alexis,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
alexis_27,Alexis,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
alfonso_28,Alfonso,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
aliikai_29,Aliikai,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
alika_30,Alika,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
alohi_31,Alohi,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
amanda_32,Amanda,True,False,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
amber_33,Amber,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
ami_34,Ami,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
amy_35,Amy,True,False,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
ana_36,Ana,True,False,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
analu_37,Analu,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
andres_38,Andres,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
andrew_39,Andrew,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
anela_40,Anela,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
angel_41,Angel,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
angel_42,Angel,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
angela_43,Angela,True,False,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
angela_44,Angela,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
anna_45,Anna,True,False,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
anoki_46,Anoki,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
anthony_47,Anthony,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
anthony_48,Anthony,False,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
