RowName,NameValue,bFeminine,bMasculine,Population,EthnicGroups
Aaron,Aaron,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Adahy,Adahy,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Adam,Adam,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Adoeete,Adoeete,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Adrian,Adrian,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Adrian,Adrian,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Adriana,Adriana,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Adsila,Adsila,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Ahanu,Ahanu,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Ahiga,Ahiga,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Ai,Ai,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Aiyana,Aiyana,True,False,0.018,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Akari,Akari,True,False,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Aki,Aki,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Akiko,Akiko,True,False,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Akio,Akio,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Akira,Akira,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Akira,Akira,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Akoni,Akoni,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Alaula,Alaula,True,False,0.018,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Alberto,Alberto,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Aleshanee,Aleshanee,True,False,0.009,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Alex,Alex,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Alex,Alex,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Alexander,Alexander,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Alexander,Alexander,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Alexis,Alexis,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Alexis,Alexis,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Alfonso,Alfonso,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Aliikai,Aliikai,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Alika,Alika,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Alohi,Alohi,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Amanda,Amanda,True,False,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Amber,Amber,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Ami,Ami,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Amy,Amy,True,False,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Ana,Ana,True,False,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Analu,Analu,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Andres,Andres,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Andrew,Andrew,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Anela,Anela,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Angel,Angel,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Angel,Angel,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Angela,Angela,True,False,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Angela,Angela,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Anna,Anna,True,False,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Anoki,Anoki,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Anthony,Anthony,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Anthony,Anthony,False,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Antonia,Antonia,True,False,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Antonio,Antonio,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Aoi,Aoi,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Aponi,Aponi,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Aponi,Aponi,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Ariel,Ariel,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Armando,Armando,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Arturo,Arturo,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Ashley,Ashley,True,False,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Asuka,Asuka,True,False,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Awena,Awena,True,False,0.011,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Aya,Aya,True,False,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Ayako,Ayako,True,False,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Ayumi,Ayumi,True,False,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Barbara,Barbara,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Beatriz,Beatriz,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Benjamin,Benjamin,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Benjamin,Benjamin,False,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Betty,Betty,True,False,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Blake,Blake,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Blake,Blake,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Brandon,Brandon,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Brandon,Brandon,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Brenda,Brenda,True,False,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Brian,Brian,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Brian,Brian,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Caleb,Caleb,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Cameron,Cameron,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Cameron,Cameron,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
