NameValue,bFeminine,bMasculine,PercentChance,EthnicGroups
Adams,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Akana,True,True,0.002,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Allen,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Alvarez,True,True,0.003,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Anderson,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Atsitty,True,True,0.004,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Baker,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Becenti,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Begay,True,True,0.025,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Benally,True,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Bitsuie,True,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Brown,True,True,0.023,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Campbell,True,True,0.005,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Carter,True,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Chavez,True,True,0.006,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Chee,True,True,0.019,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Chen,True,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Chung,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Clah,True,True,0.006,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Collins,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Cruz,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Curley,True,True,0.003,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Davis,True,True,0.019,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Descheny,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Diaz,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Edwards,True,True,0.002,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Etsitty,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Evans,True,True,0.003,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Flores,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Garcia,True,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Garcia,True,True,0.032,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Gomez,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Gonzalez,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic""),(TagName=""Game.Character.Race.White"")))"
Green,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Gutierrez,True,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Harris,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Harris,True,True,0.02,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Hastings,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Haumea,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Hernandez,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic""),(TagName=""Game.Character.Race.White"")))"
Ho,True,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Huang,True,True,0.004,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Jackson,True,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Jackson,True,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jefferson,True,True,0.025,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jiang,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Johnson,True,True,0.023,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Jones,True,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Kahale,True,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kai,True,True,0.025,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kainoa,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kalua,True,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kamaka,True,True,0.019,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kang,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Kanoa,True,True,0.005,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kapule,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kealoha,True,True,0.023,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kee,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Kekai,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kekoa,True,True,0.022,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Khan,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Kim,True,True,0.023,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
King,True,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Kinsel,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Kumar,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Le,True,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Lee,True,True,0.005,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Leialoha,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Li,True,True,0.02,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Liloa,True,True,0.004,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Liu,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Lokelani,True,True,0.006,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Lomahquahu,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Lopez,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic""),(TagName=""Game.Character.Race.White"")))"
Mahelona,True,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Mahoe,True,True,0.003,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Makana,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Manoa,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Manuelito,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Manygoats,True,True,0.02,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Martin,True,True,0.006,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Martinez,True,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Martinez,True,True,0.028,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Mendoza,True,True,0.002,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Miller,True,True,0.02,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Mitchell,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Moore,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
